contrast,delta_auc,ci_low,ci_high,p_delta_le_0
C5-FERNET (frozen) vs surface stats,0.004182411798120026,-0.06434848484848481,0.07552597473148319,0.4645
C5-FERNET (frozen) vs V2 frozen primary,-0.059335023870156746,-0.12817209748083241,0.012350558639152194,0.952
RobeCzech (frozen) vs surface stats,0.07554476674427947,0.00409512495685938,0.1439201636309729,0.0185
RobeCzech (frozen) vs V2 frozen primary,0.012027331076002692,-0.0524407740686391,0.07737643218975522,0.358
CZERT-B (frozen) vs surface stats,0.07279772116138968,0.003903533283656154,0.1446998610499669,0.0215
CZERT-B (frozen) vs V2 frozen primary,0.009280285493112902,-0.04871654346757913,0.06744496746810531,0.381
mBERT (frozen) vs surface stats,0.042486788451159184,-0.03148360107095054,0.1111913366524502,0.1165
mBERT (frozen) vs V2 frozen primary,-0.021030647217117587,-0.08036479004018451,0.03715340123957622,0.761
Small-E-Czech (frozen) vs surface stats,0.06450782357423344,-0.004025336315095998,0.12904677352155455,0.0325
Small-E-Czech (frozen) vs V2 frozen primary,0.0009903879059566783,-0.05395793477442195,0.05552905522939767,0.4795
RobeCzech (frozen) (best frozen) vs TF-IDF char 3-5-gram,-0.049504338407505684,-0.09730581246710276,-0.005132381875801995,0.986
"C5-FERNET (fine-tuned, 1x5-fold CV) vs surface stats",0.043154969540754595,-0.023589960627014298,0.11336793703165889,0.111
"C5-FERNET (fine-tuned, 1x5-fold CV) vs V2 frozen primary",-0.020362466127522186,-0.07881057203445632,0.0419090574725821,0.7375
"RobeCzech (fine-tuned, 1x5-fold CV) vs surface stats",0.03460491167586935,-0.04202380952380954,0.11111796271081348,0.1835
"RobeCzech (fine-tuned, 1x5-fold CV) vs V2 frozen primary",-0.02891252399240743,-0.09641747864097443,0.038384784075573504,0.804
"CZERT-B (fine-tuned, 1x5-fold CV) vs surface stats",0.058489021654304765,-0.008383377689378151,0.12560000009080963,0.0455
"CZERT-B (fine-tuned, 1x5-fold CV) vs V2 frozen primary",-0.0050284140139720095,-0.05883980362243485,0.0497333020969143,0.5835
"mBERT (fine-tuned, 1x5-fold CV) vs surface stats",0.04857328681756972,-0.025230316936540632,0.12345654193263325,0.0995
"mBERT (fine-tuned, 1x5-fold CV) vs V2 frozen primary",-0.014944148850707056,-0.08170326844428065,0.05312068801850774,0.666
"Small-E-Czech (fine-tuned, 1x5-fold CV) vs surface stats",0.010699399394460973,-0.06287385305739734,0.08557752522977116,0.3855
"Small-E-Czech (fine-tuned, 1x5-fold CV) vs V2 frozen primary",-0.05281803627381581,-0.11161677964060795,0.005466562398325767,0.9635
C5-FERNET (frozen) vs V2 frozen primary (test),-0.13599834110947304,-0.2752195478939665,0.003505990133897106,0.972
C5-FERNET (frozen) vs surface (test),-0.12512959120704625,-0.2583631106827786,-0.0012515664160400843,0.977
RobeCzech (frozen) vs V2 frozen primary (test),0.0568624249396159,-0.05361419068736138,0.17780748663101598,0.153
RobeCzech (frozen) vs surface (test),0.06773117484204269,-0.015282738095238044,0.16249999999999998,0.0675
CZERT-B (frozen) vs V2 frozen primary (test),0.021206154718126938,-0.08903644982020259,0.12340107808857807,0.327
CZERT-B (frozen) vs surface (test),0.03207490462055374,-0.06311206004140775,0.14038327989818766,0.274
mBERT (frozen) vs V2 frozen primary (test),-0.0755918890498846,-0.20802471604543277,0.05040995825879532,0.857
mBERT (frozen) vs surface (test),-0.0647231391474578,-0.18933045930042497,0.057147212543554,0.855
Small-E-Czech (frozen) vs V2 frozen primary (test),0.06668445500561168,-0.03814536340852128,0.17385705057216652,0.0965
Small-E-Czech (frozen) vs surface (test),0.07755320490803846,-0.017783783783783792,0.19166666666666665,0.064
"C5-FERNET (fine-tuned, 1x5-fold CV) vs V2 frozen primary (test)",-0.0763590248161972,-0.20721992947376583,0.05011655011655014,0.8835
"C5-FERNET (fine-tuned, 1x5-fold CV) vs surface (test)",-0.0654902749137704,-0.18224999999999994,0.05215500594177055,0.858
"RobeCzech (fine-tuned, 1x5-fold CV) vs V2 frozen primary (test)",0.02232234789715693,-0.0839965497667323,0.13538750441852224,0.352
"RobeCzech (fine-tuned, 1x5-fold CV) vs surface (test)",0.033191097799583735,-0.054797979797979776,0.11889285714285705,0.2185
"CZERT-B (fine-tuned, 1x5-fold CV) vs V2 frozen primary (test)",-0.00022156329022347105,-0.125015243902439,0.12013049934561569,0.503
"CZERT-B (fine-tuned, 1x5-fold CV) vs surface (test)",0.010647186612203331,-0.0680587121212121,0.08811846689895449,0.3895
"mBERT (fine-tuned, 1x5-fold CV) vs V2 frozen primary (test)",0.04227983129427784,-0.059422877846790845,0.15642272459222906,0.2175
"mBERT (fine-tuned, 1x5-fold CV) vs surface (test)",0.05314858119670465,-0.027246390577507613,0.14598567497174306,0.103
"Small-E-Czech (fine-tuned, 1x5-fold CV) vs V2 frozen primary (test)",-0.0673687602965933,-0.19386512180629828,0.058357007311491835,0.848
"Small-E-Czech (fine-tuned, 1x5-fold CV) vs surface (test)",-0.056500010394166494,-0.1619151138716356,0.045480972515856054,0.861
